TimeStamp,Scene,Event,Interaction
1720687903775,SampleScene,none,none,
1720687903790,SampleScene,none,none,
1720687903804,SampleScene,none,none,
1720687903817,SampleScene,none,none,
1720687903832,SampleScene,none,none,
1720687903845,SampleScene,none,none,
1720687903859,SampleScene,none,none,
1720687903873,SampleScene,none,none,
1720687903888,SampleScene,none,none,
1720687903902,SampleScene,none,none,
1720687903915,SampleScene,none,none,
1720687903930,SampleScene,none,none,
1720687903943,SampleScene,none,none,
1720687903957,SampleScene,none,none,
1720687903972,SampleScene,none,none,
1720687903985,SampleScene,none,none,
1720687903999,SampleScene,none,none,
1720687904012,SampleScene,none,none,
1720687904027,SampleScene,none,none,
1720687904039,SampleScene,none,none,
1720687904054,SampleScene,none,none,
1720687904068,SampleScene,none,none,
1720687904082,SampleScene,none,none,
1720687904096,SampleScene,none,none,
1720687904110,SampleScene,none,none,
1720687904124,SampleScene,none,none,
1720687904138,SampleScene,none,none,
1720687904152,SampleScene,none,none,
1720687904167,SampleScene,none,none,
1720687904179,SampleScene,none,none,
1720687904192,SampleScene,none,none,
1720687904206,SampleScene,none,none,
1720687904221,SampleScene,none,none,
1720687904234,SampleScene,none,none,
1720687904249,SampleScene,none,none,
1720687904262,SampleScene,none,none,
1720687904276,SampleScene,none,none,
1720687904290,SampleScene,none,none,
1720687904304,SampleScene,none,none,
1720687904318,SampleScene,none,none,
1720687904332,SampleScene,none,none,
1720687904346,SampleScene,none,none,
1720687904360,SampleScene,none,none,
1720687904374,SampleScene,none,none,
1720687904388,SampleScene,none,none,
1720687904401,SampleScene,none,none,
1720687904415,SampleScene,none,none,
1720687904431,SampleScene,none,none,
1720687904442,SampleScene,none,none,
1720687904457,SampleScene,none,none,
1720687904471,SampleScene,none,none,
1720687904484,SampleScene,none,none,
1720687904498,SampleScene,none,none,
1720687904513,SampleScene,none,none,
1720687904525,SampleScene,none,none,
1720687904539,SampleScene,none,none,
1720687904553,SampleScene,none,none,
1720687904568,SampleScene,none,none,
1720687904581,SampleScene,none,none,
1720687904595,SampleScene,none,none,
1720687904609,SampleScene,none,none,
1720687904623,SampleScene,none,none,
1720687904637,SampleScene,none,none,
1720687904651,SampleScene,none,none,
1720687904665,SampleScene,none,none,
1720687904679,SampleScene,none,none,
1720687904692,SampleScene,none,none,
1720687904706,SampleScene,none,none,
1720687904720,SampleScene,none,none,
1720687904735,SampleScene,none,none,
1720687904749,SampleScene,none,none,
1720687904762,SampleScene,none,none,
1720687904776,SampleScene,none,none,
1720687904789,SampleScene,none,none,
1720687904804,SampleScene,none,none,
1720687904817,SampleScene,none,none,
1720687904831,SampleScene,none,none,
1720687904845,SampleScene,none,none,
1720687904859,SampleScene,none,none,
1720687904873,SampleScene,none,none,
1720687904887,SampleScene,none,none,
1720687904900,SampleScene,none,none,
1720687904915,SampleScene,none,none,
1720687904929,SampleScene,none,none,
1720687904943,SampleScene,none,none,
1720687904957,SampleScene,none,none,
1720687904970,SampleScene,none,none,
1720687904984,SampleScene,none,none,
1720687904999,SampleScene,none,none,
1720687905012,SampleScene,none,none,
1720687905026,SampleScene,none,none,
1720687905040,SampleScene,none,none,
1720687905053,SampleScene,none,none,
1720687905067,SampleScene,none,none,
1720687905081,SampleScene,none,none,
1720687905095,SampleScene,none,none,
1720687905109,SampleScene,none,none,
1720687905123,SampleScene,none,none,
1720687905137,SampleScene,none,none,
1720687905151,SampleScene,none,none,
1720687905165,SampleScene,none,none,
1720687905179,SampleScene,none,none,
1720687905192,SampleScene,none,none,
1720687905206,SampleScene,none,none,
1720687905220,SampleScene,none,none,
1720687905234,SampleScene,none,none,
1720687905248,SampleScene,none,none,
1720687905262,SampleScene,none,none,
1720687905276,SampleScene,none,none,
1720687905290,SampleScene,none,none,
1720687905303,SampleScene,none,none,
1720687905318,SampleScene,none,none,
1720687905331,SampleScene,none,none,
1720687905345,SampleScene,none,none,
1720687905359,SampleScene,none,none,
1720687905373,SampleScene,none,none,
1720687905387,SampleScene,none,none,
1720687905401,SampleScene,none,none,
1720687905415,SampleScene,none,none,
1720687905429,SampleScene,none,none,
1720687905443,SampleScene,none,none,
1720687905457,SampleScene,none,none,
1720687905470,SampleScene,none,none,
1720687905485,SampleScene,none,none,
1720687905498,SampleScene,none,none,
1720687905512,SampleScene,none,none,
1720687905525,SampleScene,none,none,
1720687905539,SampleScene,none,none,
1720687905553,SampleScene,none,none,
1720687905567,SampleScene,none,none,
1720687905581,SampleScene,none,none,
1720687905596,SampleScene,none,none,
1720687905609,SampleScene,none,none,
1720687905624,SampleScene,none,none,
1720687905637,SampleScene,none,none,
1720687905651,SampleScene,none,none,
1720687905665,SampleScene,none,none,
1720687905679,SampleScene,none,none,
1720687905693,SampleScene,none,none,
1720687905706,SampleScene,none,none,
1720687905721,SampleScene,none,none,
1720687905734,SampleScene,none,none,
1720687905749,SampleScene,none,none,
1720687905762,SampleScene,none,none,
1720687905776,SampleScene,none,none,
1720687905789,SampleScene,none,none,
1720687905803,SampleScene,none,none,
1720687905818,SampleScene,none,none,
1720687905832,SampleScene,none,none,
1720687905845,SampleScene,none,none,
1720687905859,SampleScene,none,none,
1720687905873,SampleScene,none,none,
1720687905887,SampleScene,none,none,
1720687905901,SampleScene,none,none,
1720687905915,SampleScene,none,none,
1720687905929,SampleScene,none,none,
1720687905942,SampleScene,none,none,
1720687905956,SampleScene,none,none,
1720687905970,SampleScene,none,none,
1720687905984,SampleScene,none,none,
1720687905998,SampleScene,none,none,
1720687906011,SampleScene,none,none,
1720687906025,SampleScene,none,none,
1720687906039,SampleScene,none,none,
1720687906053,SampleScene,none,none,
1720687906067,SampleScene,none,none,
1720687906081,SampleScene,none,none,
1720687906095,SampleScene,none,none,
1720687906109,SampleScene,none,none,
1720687906123,SampleScene,none,none,
1720687906137,SampleScene,none,none,
1720687906151,SampleScene,none,none,
1720687906165,SampleScene,none,none,
1720687906178,SampleScene,none,none,
1720687906192,SampleScene,none,none,
1720687906206,SampleScene,none,none,
1720687906219,SampleScene,none,none,
1720687906234,SampleScene,none,none,
1720687906247,SampleScene,none,none,
1720687906261,SampleScene,none,none,
1720687906275,SampleScene,none,none,
1720687906289,SampleScene,none,none,
1720687906303,SampleScene,none,none,
