TimeStamp,Event,Interaction
1712924056867,none,none,
1712924056880,none,none,
1712924056896,none,none,
1712924056909,none,none,
1712924056923,none,none,
1712924056936,none,none,
1712924056951,none,none,
1712924056965,none,none,
1712924056978,none,none,
1712924056992,none,none,
1712924057006,none,none,
1712924057020,none,none,
1712924057035,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924057048,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924057062,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924057076,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924057089,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924057105,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924057118,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924057132,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924057146,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924057159,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924057173,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924057188,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924057201,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924057215,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924057228,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924057243,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924057257,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924057270,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924057285,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924057298,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924057313,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924057326,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924057340,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924057354,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924057369,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924057384,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924057397,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924057410,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924057424,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924057438,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924057451,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924057466,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924057480,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924057493,none,none,
1712924057507,none,none,
1712924057521,none,none,
1712924057535,none,none,
1712924057548,none,none,
1712924057564,NoButton,none,
1712924057577,NoButton,none,
1712924057591,NoButton,none,
1712924057605,NoButton,none,
1712924057619,NoButton,none,
1712924057633,NoButton,none,
1712924057646,NoButton,none,
1712924057661,NoButton,none,
1712924057675,NoButton,none,
1712924057689,NoButton,none,
1712924057704,NoButton,none,
1712924057716,NoButton,none,
1712924057730,NoButton,none,
1712924057744,NoButton,none,
1712924057758,NoButton,none,
1712924057772,NoButton,none,
1712924057786,NoButton,none,
1712924057800,NoButton,none,
1712924057815,NoButton,none,
1712924057827,NoButton,none,
1712924057842,NoButton,none,
1712924057855,NoButton,none,
1712924057869,NoButton,none,
1712924057883,NoButton,none,
1712924057897,NoButton,none,
1712924057912,NoButton,none,
1712924057926,NoButton,none,
1712924057939,NoButton,none,
1712924057953,NoButton,
